"","ああ","like that, so"
"部長","ぶちょう","head (chief, director) of a section or department; head of a (school) club, head of a (school) team"
"葡萄","ぶどう, ブドウ, えび","grape, grapevine"
"文化","ぶんか","culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)"
"文学","ぶんがく","literature"
"文法","ぶんぽう","grammar"
"","プレゼント","present, gift"
"変","へん","strange, odd, peculiar, weird, curious, eccentric, funny, suspicious, fishy; unexpected; change; incident, disturbance, disaster, accident, emergency; flat"
"返事","へんじ","reply, answer, response"
"別","べつ, べち","distinction, difference, discrimination; separate, different, another, extra; exception, exclusion; classified by, ranked by, according to"
"","ベル","bell"
"放送","ほうそう","broadcasting, broadcast, program, announcement"
"法律","ほうりつ","law"
"星","ほし, ホシ","star (usu. excluding the Sun), planet (usu. excluding Earth), heavenly body; star (glyph, symbol, shape), asterisk; star (actor, player, etc.); dot, spot, fleck; bullseye; perp, perpetrator, culprit, offender, suspect; one's star (that determines one's fate), one's fortune; point, score; star point (intersection marked with a dot), hoshi; (pyrotechnic) star"
"殆ど","ほとんど","almost, nearly, mostly, practically, virtually, basically, just about, all but; hardly, barely, scarcely, little; large majority, large proportion, greater part, most (of), almost all (of)"
"程","ほど","extent, degree, measure; limit, bounds; (span of) time; (a) distance; the state of, the status of, the condition of; about, around, approximately, or so; as much as ..., to the extent of ..., like ...; the more ... the more ..."
"褒める","ほめる","to praise, to commend, to compliment, to speak well of, to speak highly of"
"翻訳","ほんやく","translation; deciphering, decoding; translation"
"貿易","ぼうえき","(foreign) trade, (international) commerce, importing and exporting"
"僕","ぼく, ボク","I, me; you; manservant"
"参る","まいる","to go, to come, to call; to be defeated, to collapse, to die; to be annoyed, to be nonplussed; to be madly in love; to visit (shrine, grave)"
"負ける","まける","to lose, to be defeated; to succumb, to give in, to surrender, to yield; to be inferior to; to break out in a rash due to (e.g. lacquer, shaving, etc.); to reduce the price, to give a discount, to throw in (something extra) for free"
"真面目","まじめ, マジメ","serious, earnest, sober, grave; honest, sincere"
"先ず","まず","first (of all), firstly, to begin with, before anything else; probably, most likely, almost certainly, virtually; more or less (satisfactory), on the whole, reasonably; anyway, at any rate, for now (at least), for the time being"
"又は","または","or, either ... or ..."
"間違える","まちがえる","to make a mistake (in), to commit an error, to get wrong, to do incorrectly; to mistake (one thing for another), to confuse"
"真中","まなか","middle, centre, center, midpoint, heart"
"間に合う","まにあう","to be in time (for); to serve (suit, meet) the purpose, to be good enough, to be enough, to manage, to make do"
"周り","まわり","circumference, girth; surroundings, neighbourhood, neighborhood, vicinity; people surrounding oneself, surrounding circumstances"
"回る","まわる","to turn, to rotate, to revolve, to spin; to go around, to circle, to revolve around, to orbit; to make the rounds (of), to go around (several places), to travel around, to make a tour of, to patrol; to go by way of, to go via, to stop by (on the way), to take a roundabout route, to make a detour; to move around (to another place or position), to come around, to go over (e.g. to the opposing side); to come around (of one's turn), to be passed around (of a cup, circular, etc.); to function, to work well; to spread, to extend (to; e.g. of one's attention), to reach, to take effect (of alcohol, poison, etc.); to pass (a time), to turn (e.g. 5 o'clock); to earn interest; to ... around, to ... about"
"漫画","まんが, マンガ","cartoon, comic, comic strip, manga"
"見える","みえる","to be seen, to be visible, to be in sight; to look, to seem, to appear; to come"
"湖","みずうみ","lake"
"味噌","みそ, ミソ","miso, fermented condiment usu. made from soybeans; innards (from crabs, shrimps, etc.) resembling miso; key point, main point, good part (of something); weakling, weak person; try"
"見つかる","みつかる","to be found, to be discovered"
"見つける","みつける","to find, to discover, to come across, to spot, to catch (someone doing); to be used to seeing, to be familiar with"
"皆","みな, みんな","everyone, everybody, all; everything, all"
"港","みなと","harbour, harbor, port"
"向かう","むかう","to face; to go towards, to head towards"
"迎える","むかえる","to go out to meet, to receive, to welcome, to greet, to salute, to hail; to call for, to summon, to invite; to accept (e.g. as a member of a group or family), to take (e.g. a wife); to reach (a certain time, a point in one's life, etc.), to enter (a new phase, new era, etc.), to approach (e.g. death)"
"昔","むかし, むかーし","the old days, the past, former times, a long time ago; the past ten years, the past decade"
"虫","むし","insect, bug, cricket, moth; worm, roundworm; thing inside one's body believed to influence one's thoughts and feelings, (one's) unconscious; nervousness, fretfulness; person devoted to one thing, single-minded person; valve core; mushi (type of game played with a stripped deck)"
"息子","むすこ, ムスコ","son; penis"
"娘","むすめ, こ","daughter; girl (i.e. a young, unmarried woman)"
"無理","むり, ムリ","unreasonable, unnatural, unjustifiable; impossible; forcible, forced, compulsory; excessive (work, etc.), immoderate; to work too hard, to try too hard; no way, not a chance, never, dream on; irrational"
"召し上がる","めしあがる","to eat, to drink"
"珍しい","めずらしい","rare, uncommon, unusual, curious; new, novel; fine, nice, splendid, precious"
"申し上げる","もうしあげる","to say, to tell, to state, to express, to offer, to extend (greetings, congratulations, etc.); to do"
"申す","もうす","to say, to be called; to do"
"もう直ぐ","もうすぐ, もおすぐ","soon, shortly, before long, nearly, almost"
"若し","もし","if, in case, supposing"
"勿論","もちろん","of course, certainly, naturally"
"最も","もっとも, もとも","most, extremely"
"戻る","もどる","to turn back (e.g. half-way); to return, to go back; to recover (e.g. something lost), to be returned; to rebound, to spring back"
"木綿","もめん, きわた","cotton (material); red silk-cotton tree (Bombax ceiba)"
"貰う","もらう","to receive, to take, to accept; to get someone to do something; to have in one's pocket (a fight, match); to contract (a disease), to catch, to be affected"
"森","もり","forest; shrine grove"
"焼く","やく","to burn; to roast, to broil, to grill, to bake, to toast, to barbecue; to heat, to heat up; to make (charcoal, pottery, bricks, etc.), to bake, to fire, to burn; to tan (i.e. suntan), to burn; to print (a photo), to burn (an optical disc); to be jealous of, to be envious of, to envy"
"約束","やくそく","promise, agreement, arrangement, one's word, contract, pact; appointment, engagement, date; convention, rule; destiny, fate"
"役に立つ","やくにたつ","to be helpful, to be useful"
"焼ける","やける","to burn, to burn down, to go down in flames; to be roasted, to be thoroughly cooked; to be sunburnt, to fade (in the sun); to glow red (i.e. of the sky at sunset); to become hot (from the sun); to be jealous, to be envious"
"優しい","やさしい","tender, kind, gentle, graceful, affectionate, amiable"
"痩せる","やせる","to become thin, to lose weight, to slim; to become impoverished (of soil), to become sterile, to become infertile, to become barren"
"漸と","やっと","at last, finally; barely, narrowly, just, by the skin of one's teeth"
"矢張り","やはり","as expected, sure enough, just as one thought; after all (is said and done), in the end, as one would expect, in any case; too, also, as well, likewise, (not) either; still, as before; all the same, even so, still, nonetheless"
"止む","やむ","to cease, to stop, to be over"
"止める","やめる","to stop (an activity), to cease, to discontinue, to end, to quit; to cancel, to abandon, to give up, to abolish, to abstain, to refrain"
"柔らかい","やわらかい","soft, tender, supple, flexible, limber, limp; gentle, mild, soft, mellow; light (topic, book, etc.), informal; flexible (thinking, mind, etc.), malleable, adaptable"
"湯","ゆ","hot water; hot bath, hot spring; molten iron"
"輸出","ゆしゅつ, しゅしゅつ","export, exportation; efferent"
"輸入","ゆにゅう, しゅにゅう","import, importation, introduction; afferent"
"指","ゆび, および, おゆび","finger, toe, digit"
"指輪","ゆびわ","(finger) ring"
"夢","ゆめ","dream"
"揺れる","ゆれる","to shake, to sway, to rock, to swing, to tremble, to jolt, to pitch, to roll, to flicker; to become unstable, to become unsettled, to be shaken, to waver"
"用","よう","business, task, errand, engagement; use, purpose; for the use of ..., used for ..., made for ...; call of nature, excretion"
"用意","ようい","preparation, arrangements, provision, getting ready, laying out (e.g. a meal)"
"用事","ようじ","business, things to do, engagement, errand, affairs"
"汚れる","よごれる","to get dirty, to become dirty; to become sullied, to become corrupted, to lose one's chastity"
"予習","よしゅう","preparation for a lesson"
"予定","よてい","plans, arrangement, schedule, program, programme, expectation, estimate"
"予約","よやく","reservation, appointment, booking, advance order; contract, subscription, pledge; programming (e.g. a device), setting (e.g. a timer)"
"寄る","よる","to approach, to draw near, to come near, to be close to; to gather (in one place), to come together, to meet; to stop by (while on one's way to another place), to drop by, to make a short visit; to grow old, to grow high (number, etc.); to grow (wrinkly); to lean against, to recline on; to push one's opponent while holding their belt; to decide on a price and come to a deal; to be swayed by (a person), to yield to"
"喜ぶ","よろこぶ","to be delighted, to be glad, to be pleased, to rejoice; to congratulate; to welcome (a proposal, advice, etc.), to take kindly to; to do with pleasure, to do gladly, to be happy (to do)"
"宜しい","よろしい","good, OK, all right, fine, very well, will do, may, can"
"理由","りゆう, わけ","reason, grounds, pretext, excuse, motive"
"両方","りょうほう","both, both sides, both parties"
"旅館","りょかん","ryokan, traditional Japanese inn"
"利用","りよう","use, utilization, utilisation, application"
"留守","るす","absence, being away from home; house-sitting, house-sitter; being left unattended to (of one's studies, etc.), neglecting"
"冷房","れいぼう","air conditioning, air cooling"
"歴史","れきし","history"
"","レジ","(cash) register; checkout (counter), cashier"
"","レポート, リポート","report, paper; reportage"
"連絡","れんらく","contacting, (making) contact, getting in touch, communication, correspondence, call, message; connection (with a train, bus, etc.), joining (a railway line, etc.), meeting; connection (between matters, incidents, etc.), relation, link"
"沸かす","わかす","to boil, to heat (a liquid), to prepare (a bath, hot drink); to excite, to rouse, to stir"
"別れる","わかれる","to part (usu. of people), to part from, to part with, to be apart from; to separate (of a couple), to break up, to divorce; to lose (e.g. one's mother), to be bereaved"
"沸く","わく","to grow hot (e.g. water), to boil; to get excited (at), to erupt (in applause, cheering, etc.), to be in a ferment, to take place energetically; to ferment; to melt (of metal)"
"訳","わけ, ワケ","reason, cause, grounds; meaning, sense; (good) sense, reason; circumstances, case; (romantic) relationship, love affair"
"忘れ物","わすれもの, わすれもん","lost article, thing left behind; leaving something behind, forgetting something"
"笑う","わらう","to laugh; to smile; to sneer, to ridicule; to be dumbfounded, to be flabbergasted"
"割合","わりあい","rate, ratio, percentage, proportion; comparatively; contrary to expectations"
"割れる","われる","to break, to be smashed; to split, to crack, to fissure, to be torn; to be divided (opinion, vote, etc.), to split (e.g. of a party); to come to light, to become clear, to be identified, to be revealed; to become distorted (of sound), to clip; to be divisible (without a remainder); to drop below a minimum"
"","ワープロ","word processor"
