"愛(あい)","ความรัก, ความเสน่หา"
"倒す(たおす)","ล้ม, ทำให้ล้ม; สังหาร"
"手折る(たおる)","หัก (ดอกไม้ด้วยมือ)"
"宝(たから)","สมบัติ, ของมีค่า"
"互い(たがい)","ซึ่งกันและกัน"
"宅(たく)","บ้าน, ที่อยู่อาศัย"
"確かめる(たしかめる)","ตรวจสอบ, ยืนยัน"
"多少(たしょう)","บ้าง, เล็กน้อย"
"助ける(たすける)","ช่วยเหลือ, ช่วยชีวิต"
"戦い(たたかい)","การต่อสู้, การสู้รบ"
"戦う(たたかう)","ต่อสู้, สู้รบ"
"叩く(たたく)","ตี, ตบ"
"只(ただ)","ธรรมดา; ฟรี; เพียงแต่"
"直ちに(ただちに)","ทันที, โดยไม่ชักช้า"
"立ち上がる(たちあがる)","ลุกขึ้น, ฟื้นตัว; เริ่มต้น"
"立場(たちば)","ตำแหน่ง, จุดยืน"
"達する(たっする)","ถึง, บรรลุ"
"たっぷり","มาก, เพียงพอ"
"経つ(たつ)","ผ่านไป (เวลา)"
"縦(たて)","แนวตั้ง, ความสูง"
"例え(たとえ)","ตัวอย่าง; อุปมาอุปไมย"
"谷(たに)","หุบเขา"
"他人(たにん)","คนอื่น, บุคคลอื่น"
"種(たね)","เมล็ด; ลูก; สาเหตุ"
"束(たば)","มัด, กำ"
"旅(たび)","การเดินทาง, ทริป"
"度(たび)","ครั้ง, รอบ"
"度々(たびたび)","บ่อยครั้ง, ซ้ำแล้วซ้ำเล่า"
"多分(たぶん)","น่าจะ, อาจจะ; มาก"
"偶(たま)","นานๆ ครั้ง"
"玉(たま)","ลูกบอล; อัญมณี; เม็ด"
"偶々(たまたま)","โดยบังเอิญ; บางครั้ง"
"堪らない(たまらない)","ทนไม่ไหว; อยากมาก"
"試し(ためし)","การทดสอบ, การลอง"
"試す(ためす)","ทดสอบ, ลอง"
"便り(たより)","ข่าว, จดหมาย"
"頼る(たよる)","พึ่งพา, อาศัย"
"単位(たんい)","หน่วย; เครดิต (การเรียน)"
"単語(たんご)","คำศัพท์"
"単純(たんじゅん)","เรียบง่าย, ตรงไปตรงมา"
"誕生(たんじょう)","การเกิด, การสร้าง"
"担当(たんとう)","รับผิดชอบ, ดูแล"
"単なる(たんなる)","เพียงแค่, แค่"
"単に(たんに)","เพียงแต่, เพียง"
"大(だい)","ใหญ่, สำคัญ; มหาวิทยาลัย"
"題(だい)","ชื่อเรื่อง, หัวข้อ"
"台(だい)","ฐาน, แท่น; ระดับ"
"代金(だいきん)","ราคา, ค่าใช้จ่าย"
"大臣(だいじん)","รัฐมนตรี"
"大統領(だいとうりょう)","ประธานาธิบดี"
"代表(だいひょう)","ตัวแทน, การเป็นตัวแทน"
"大部分(だいぶぶん)","ส่วนใหญ่"
"ダイヤ","ตารางเวลา (รถไฟ)"
"代理(だいり)","ผู้แทน, ตัวแทน"
"だから","ดังนั้น, ด้วยเหตุนี้"
"だが","แต่, อย่างไรก็ตาม"
"だけど","แต่, อย่างไรก็ตาม"
"だって","เพราะ; แม้แต่; บอกว่า"
"黙る(だまる)","เงียบ, ไม่พูด"
"駄目(だめ)","ไม่ดี, ไม่ได้; ห้าม"
"誰か(だれか)","บางคน"
"段(だん)","ขั้น, ชั้น; ระดับ"
"男子(だんし)","เด็กผู้ชาย, ชาย"
"ダンス","การเต้นรำ"
"団体(だんたい)","กลุ่ม, องค์กร"
"地(ち)","ดิน, พื้นดิน"
"地位(ちい)","ตำแหน่ง, สถานะ"
"地域(ちいき)","พื้นที่, เขต"
"知恵(ちえ)","ปัญญา, ความฉลาด"
"地下(ちか)","ใต้ดิน; ลับ"
"近頃(ちかごろ)","เร็วๆ นี้, ไม่นานมานี้"
"違い(ちがい)","ความแตกต่าง; ความผิดพลาด"
"違いない(ちがいない)","แน่นอน, ไม่ต้องสงสัย"
"地球(ちきゅう)","โลก"
"地区(ちく)","เขต, บริเวณ"
"遅刻(ちこく)","การมาสาย, การมาช้า"
"知識(ちしき)","ความรู้, ข้อมูล"
"知事(ちじ)","ผู้ว่าราชการจังหวัด"
"父親(ちちおや)","พ่อ"
"知能(ちのう)","สติปัญญา, ความฉลาด"
"地平線(ちへいせん)","เส้นขอบฟ้า (บนบก)"
"地方(ちほう)","ภูมิภาค, ท้องถิ่น"
"茶(ちゃ)","ชา; สีน้ำตาล"
"チャンス","โอกาส"
"ちゃんと","อย่างถูกต้อง, เป็นระเบียบ"
"注(ちゅう)","หมายเหตุ, คำอธิบาย"
"中(ちゅう)","กลาง; ระหว่าง; ขณะที่"
"中央(ちゅうおう)","ศูนย์กลาง, ใจกลาง"
"中学(ちゅうがく)","มัธยมต้น"
"中古(ちゅうこ)","มือสอง, ใช้แล้ว"
"中止(ちゅうし)","การหยุด, การระงับ"
"駐車(ちゅうしゃ)","การจอดรถ"
"昼食(ちゅうしょく)","มื้อกลางวัน"
"中心(ちゅうしん)","ศูนย์กลาง, จุดสำคัญ"
"注目(ちゅうもく)","ความสนใจ, การสังเกต"
"注文(ちゅうもん)","คำสั่งซื้อ, การร้องขอ"
"長期(ちょうき)","ระยะยาว"
"調査(ちょうさ)","การสืบสวน, การสำรวจ"
"調子(ちょうし)","สภาพ, อารมณ์; จังหวะ"
"頂上(ちょうじょう)","ยอดเขา, จุดสูงสุด"
"頂戴(ちょうだい)","รับ (ถ่อมตน); โปรดให้"
"貯金(ちょきん)","การออมเงิน"
"直接(ちょくせつ)","โดยตรง, ทันที"
"著者(ちょしゃ)","ผู้แต่ง, นักเขียน"
"チーズ","ชีส"
"チーム","ทีม"
"遂に(ついに)","ในที่สุด, สุดท้าย"
"通過(つうか)","การผ่าน, การผ่านทาง; การได้รับการอนุมัติ"
"通学(つうがく)","การไปโรงเรียน"
"通行(つうこう)","การสัญจร, การใช้เส้นทาง"
"通信(つうしん)","การสื่อสาร, การส่งข้อมูล"
"通じる(つうじる)","เชื่อมต่อ; เข้าใจ"
"捕まる(つかまる)","ถูกจับ, ถูกกุมตัว"
"掴む(つかむ)","จับ, คว้า; เข้าใจ"
"疲れ(つかれ)","ความเหนื่อยล้า"
"付き合い(つきあい)","การคบหา, ความสัมพันธ์"
"月(つき)","ดวงจันทร์; เดือน"
"次々(つぎつぎ)","ทีละคน, ต่อเนื่อง"
"就く(つく)","รับ (ตำแหน่ง, งาน); ศึกษาภายใต้"
"注ぐ(つぐ)","เท (ในภาชนะ)"
"付ける(つける)","ติด, ใส่; สวมใส่"
"土(つち)","ดิน, โคลน"
"包み(つつみ)","พัสดุ, ห่อ"
"続き(つづき)","การต่อเนื่อง, ส่วนต่อไป"
"勤め(つとめ)","หน้าที่, งาน"
"繋ぐ(つなぐ)","เชื่อมต่อ, ผูก"
"常に(つねに)","เสมอ, ตลอดเวลา"
"翼(つばさ)","ปีก"
"詰まり(つまり)","นั่นคือ, สรุปก็คือ"
"罪(つみ)","ความผิด, บาป"
"詰める(つめる)","ยัดให้เต็ม; ย่อ; ทำงานอยู่"
"積もる(つもる)","สะสม, กอง"
"梅雨(つゆ)","ฤดูฝน"
"辛い(つらい)","เจ็บปวด, ทุกข์ทรมาน"
"釣り(つり)","การตกปลา; เงินทอน"
"連れ(つれ)","เพื่อนร่วมทาง"
"提案(ていあん)","ข้อเสนอ"
"定期(ていき)","ประจำ, เป็นระยะ"
"抵抗(ていこう)","การต้านทาน, การต่อต้าน"
"提出(ていしゅつ)","การยื่น, การส่ง (เอกสาร)"
"程度(ていど)","ระดับ, ขนาด"
"停留所(ていりゅうじょ)","ป้ายรถเมล์"
"敵(てき)","ศัตรู, คู่ต่อสู้"
"適する(てきする)","เหมาะสม, เข้ากันได้"
"適切(てきせつ)","เหมาะสม, ถูกต้อง"
"適度(てきど)","พอดี, พอเหมาะ"
"適用(てきよう)","การนำไปใช้, การประยุกต์"
"手品(てじな)","มายากล, กลเม็ด"
"徹底(てってい)","ความทั่วถึง, ความสมบูรณ์"
"鉄(てつ)","เหล็ก; รถไฟ"
"哲学(てつがく)","ปรัชญา"
"手伝い(てつだい)","ผู้ช่วย, การช่วยเหลือ"
"鉄道(てつどう)","ทางรถไฟ"
"徹夜(てつや)","การเฝ้ายามตลอดคืน"
"手間(てま)","เวลา, แรงงาน"
"典型(てんけい)","ต้นแบบ, ตัวอย่างที่ดีที่สุด"
"天候(てんこう)","สภาพอากาศ"
"テント","เต็นท์"
"天然(てんねん)","ธรรมชาติ; ธรรมชาติโดยกำเนิด"
"出(で)","การออก, ต้นกำเนิด"
"出会い(であい)","การพบกัน, การพบปะ"
"出会う(であう)","พบกัน (โดยบังเอิญ)"
"出来事(できごと)","เหตุการณ์, เรื่องที่เกิดขึ้น"
"出切る(できる)","หมด, ขาดของ"
"出来るだけ(できるだけ)","มากที่สุดเท่าที่จะทำได้"
"出来れば(できれば)","ถ้าเป็นไปได้"
"ですから","ดังนั้น"
"出端(では)","โอกาส; ที่นี่"
"デモ","การประท้วง, การสาธิต"
"でも","แต่, อย่างไรก็ตาม; แม้แต่"
"電子(でんし)","อิเล็กตรอน; อิเล็กทรอนิกส์"
"伝統(でんとう)","ประเพณี, ขนบธรรมเนียม"
"デート","เดท, การออกไปเที่ยว"
"問い(とい)","คำถาม, ข้อสงสัย"
"党(とう)","พรรคการเมือง"
"塔(とう)","หอคอย, เจดีย์"
"答案(とうあん)","กระดาษคำตอบ"
"当時(とうじ)","ในขณะนั้น, ยุคนั้น"
"到着(とうちゃく)","การมาถึง"
"投票(とうひょう)","การลงคะแนน"
"通す(とおす)","ส่งผ่าน; นำทาง; อนุมัติ"
"通り(とおり)","ถนน, เส้นทาง; การสัญจร"
"通り過ぎる(とおりすぎる)","ผ่านไป, แล่นผ่าน"
"都会(とかい)","เมือง"
"時(とき)","เวลา, โอกาส"
"解く(とく)","แก้, คลาย; แก้ปัญหา"
"得意(とくい)","ความภาคภูมิใจ; จุดแข็ง; ลูกค้าประจำ"
"特徴(とくちょう)","ลักษณะเด่น, คุณลักษณะ"
"解ける(とける)","คลาย, แก้ปัญหา; หายไป"
"所が(ところが)","อย่างไรก็ตาม, ถึงกระนั้น"
"所で(ところで)","ในระหว่างนั้น; แม้ว่า"
"登山(とざん)","การปีนเขา"
"都市(とし)","เมือง, เขตเมือง"
"年月(としつき)","ปีและเดือน, เวลา"
"図書(としょ)","หนังสือ"
"年寄り(としより)","ผู้สูงอายุ"
"閉じる(とじる)","ปิด"
"途端(とたん)","ทันทีที่, เพิ่งจะ"
"土地(とち)","ที่ดิน, พื้นที่"
"トップ","อันดับหนึ่ง, ยอด"
"突然(とつぜん)","กะทันหัน, ฉับพลัน"
"届く(とどく)","ถึง, ส่งถึง; ทำสำเร็จ"
"兎に角(とにかく)","อย่างไรก็ตาม, ไม่ว่าจะ"
"飛ばす(とばす)","โยน, ข้าม; ละเว้น"
"飛び出す(とびだす)","กระโดดออก, ออกมา"
"止める(とめる)","หยุด, ดับ; ป้องกัน; จอด"
"友(とも)","เพื่อน"
"共に(ともに)","ด้วยกัน, พร้อมกัน"
"虎(とら)","เสือ"
"トラック","รถบรรทุก"
"トランプ","ไพ่"
"取り上げる(とりあげる)","หยิบขึ้น; นำมาพิจารณา; รายงาน"
"取れる(とれる)","ออกมาได้; หาย; ได้รับ"
"とんでも無い(とんでもない)","ไม่น่าเชื่อ, ยอมรับไม่ได้"
"トンネル","อุโมงค์"
"度(ど)","องศา; ครั้ง; ขอบเขต"
"同一(どういつ)","เหมือนกัน, เท่าเทียม"
"銅貨(どうか)","เหรียญทองแดง"
"動詞(どうし)","กริยา"
"如何しても(どうしても)","ไม่ว่าอย่างไร, ต้องทำ"
"同時(どうじ)","พร้อมกัน, ในเวลาเดียว"
"道徳(どうとく)","ศีลธรรม, จริยธรรม"
"同様(どうよう)","เหมือนกัน, คล้ายกัน"
"同僚(どうりょう)","เพื่อนร่วมงาน"
"道路(どうろ)","ถนน, ทางหลวง"
"毒(どく)","สารพิษ, ยาพิษ"
"読書(どくしょ)","การอ่านหนังสือ"
"独身(どくしん)","โสด, ยังไม่แต่งงาน"
"独特(どくとく)","ลักษณะเฉพาะ, เอกลักษณ์"
"独立(どくりつ)","เอกราช, การพึ่งตนเอง"
"何処か(どこか)","ที่ไหนสักแห่ง"
"土曜(どよう)","วันเสาร์"
"ドライブ","การขับรถเที่ยว"
"ドラマ","ละคร, ซีรีส์ทีวี"
"努力(どりょく)","ความพยายาม, ความอุตสาหะ"
"何れ(どれ)","อันไหน"
"ドレス","ชุดกระโปรง"
"泥(どろ)","โคลน, ดินเหลว"
"どんな","แบบไหน, ประเภทใด"
"どんなに","มากแค่ไหน, ยังไงก็"
"名(な)","ชื่อ, ชื่อเสียง"
"内容(ないよう)","เนื้อหา, สาระ"
"直(なお)","ตรง, ธรรมดา"
"仲(なか)","ความสัมพันธ์"
"中々(なかなか)","ค่อนข้าง, พอสมควร"
"半ば(なかば)","กลาง, ครึ่ง"
"仲間(なかま)","เพื่อน, สมาชิก"
"流す(ながす)","ปล่อยให้ไหล; กระจาย"
"眺め(ながめ)","ทัศนียภาพ, วิว"
"眺める(ながめる)","มอง, จ้อง"
"流れ(ながれ)","กระแส, การไหล"
"流れる(ながれる)","ไหล, เลื่อนไป; แพร่กระจาย"
"無し(なし)","ไม่มี, ขาด"
"何故なら(なぜなら)","เพราะว่า"
"謎(なぞ)","수수께끼, ปริศนา"
"納得(なっとく)","การยินยอม, ความพึงพอใจ"
"等(など)","และอื่นๆ, เป็นต้น"
"何(なに)","อะไร, สิ่งใด"
"何か(なにか)","บางอย่าง"
"何も(なにも)","ไม่อะไร, ไม่มีอะไร"
"鍋(なべ)","หม้อ, กระทะ"
"生(なま)","ดิบ, สด; สด"
"怠ける(なまける)","ขี้เกียจ, ละเลย"
"生物(なまもの)","อาหารดิบ, ของสด"
"波(なみ)","คลื่น"
"涙(なみだ)","น้ำตา"
"悩む(なやむ)","กังวล, เป็นทุกข์"
"成る(なる)","กลายเป็น, เป็น"
"縄(なわ)","เชือก, เส้นเชือก"
"何(なん)","อะไร, กี่"
"何で(なんで)","ทำไม, อย่างไร"
"何でも(なんでも)","อะไรก็ได้, ทุกอย่าง"
"何とか(なんとか)","บางอย่าง, ยังไงก็"
"似合う(にあう)","เข้ากัน, เหมาะสม"
"匂い(におい)","กลิ่น, กลิ่นอาย"
"苦手(にがて)","ไม่ถนัด, ไม่ชอบ"
"握る(にぎる)","จับ, กำ"
"日(にち)","วัน, วันที่"
"日常(にちじょう)","ทุกวัน, ประจำวัน"
"日曜(にちよう)","วันอาทิตย์"
"日光(にっこう)","แสงอาทิตย์"
"にっこり","ยิ้มกว้าง, ยิ้มหวาน"
"日中(にっちゅう)","กลางวัน; ญี่ปุ่นและจีน"
"日本(にほん)","ญี่ปุ่น"
"入院(にゅういん)","การเข้ารับการรักษาในโรงพยาบาล"
"入学(にゅうがく)","การเข้าเรียน, การรับเข้าโรงเรียน"
"入場(にゅうじょう)","การเข้า, การเข้าไป"
"人気(にんき)","ความนิยม, ชื่อเสียง"
"人間(にんげん)","มนุษย์, คน"
"抜く(ぬく)","ดึงออก, ถอนออก"
"抜ける(ぬける)","หลุดออก, หาย"
"布(ぬの)","ผ้า"
"濡れる(ぬれる)","เปียก, ชื้น"
"根(ね)","ราก; แหล่งที่มา"
"値(ね)","ราคา, ค่า"
"願い(ねがい)","ความปรารถนา, คำร้องขอ"
"願う(ねがう)","ปรารถนา, อ้อนวอน"
"鼠(ねずみ)","หนู"
"値段(ねだん)","ราคา"
"熱心(ねっしん)","กระตือรือร้น, ตั้งใจ"
"熱帯(ねったい)","เขตร้อน"
"熱中(ねっちゅう)","หมกมุ่น, ลุ่มหลง"
"年間(ねんかん)","(ระยะเวลา) หนึ่งปี"
"年中(ねんじゅう)","ตลอดปี; ตลอดเวลา"
"年代(ねんだい)","ยุค, ยุคสมัย, วันที่"
"年齢(ねんれい)","อายุ"
"野(の)","ทุ่ง, ป่า"
"能(のう)","พรสวรรค์, ความสามารถ; โนห์ (ละคร)"
"農家(のうか)","ชาวนา, ครอบครัวชาวนา"
"農業(のうぎょう)","เกษตรกรรม, การทำฟาร์ม"
"農民(のうみん)","ชาวนา, เกษตรกร"
"能力(のうりょく)","ความสามารถ, ศักยภาพ"
"軒(のき)","ชายคา"
"残す(のこす)","ทิ้งไว้, เก็บไว้"
"残り(のこり)","ส่วนที่เหลือ, เศษ"
"乗せる(のせる)","วางบน; พาขึ้น; ขนส่ง"
"除く(のぞく)","ลบออก, ยกเว้น"
"望み(のぞみ)","ความปรารถนา, ความหวัง"
"望む(のぞむ)","ปรารถนา, หวัง"
"後(のち)","หลังจากนั้น, ต่อมา"
"ノック","การเคาะ; การตีลูกฝึก"
"喉(のど)","คอ, ลำคอ"
"伸ばす(のばす)","ยืด, ยาวออก; เลื่อน"
"伸びる(のびる)","ยืดออก, เติบโต; ก้าวหน้า"
"述べる(のべる)","กล่าว, แถลง, พูด"
"上る(のぼる)","ขึ้น, ปีน"
"のんびり","ผ่อนคลาย, สบาย"
"ノー","ไม่, ปฏิเสธ"
"灰(はい)","เถ้า, ขี้เถ้า"
"ハイキング","การเดินป่า"
"配達(はいたつ)","การส่งของ, การจัดส่ง"
"俳優(はいゆう)","นักแสดง"
"墓(はか)","หลุมฝังศพ, สุสาน"
"博士(はかせ)","ผู้เชี่ยวชาญ; ดอกเตอร์"
"計る(はかる)","วัด, ชั่ง; คาดเดา"
"吐く(はく)","อาเจียน, สำรอก"
"履く(はく)","สวม (รองเท้า, กางเกง)"
"拍手(はくしゅ)","การปรบมือ"
"博物館(はくぶつかん)","พิพิธภัณฑ์"
"激しい(はげしい)","รุนแรง, ดุเดือด; เข้มแข็ง"
"鋏(はさみ)","กรรไกร"
"破産(はさん)","ล้มละลาย"
"端(はし)","ขอบ, ปลาย, ริม"
"始まり(はじまり)","จุดเริ่มต้น, การเริ่มต้น"
"外す(はずす)","ถอดออก, เอาออก; หลีกเลี่ยง"
"旗(はた)","ธง"
"畑(はたけ)","ไร่, สวน"
"２０歳(はたち)","อายุยี่สิบปี"
"働き(はたらき)","การทำงาน, แรงงาน; ความสามารถ"
"肌(はだ)","ผิวหนัง; ลักษณะนิสัย"
"裸(はだか)","เปลือย, เปล่า"
"発見(はっけん)","การค้นพบ"
"発行(はっこう)","การตีพิมพ์, การออก"
"発車(はっしゃ)","การออกเดินทาง (รถ, รถไฟ)"
"発達(はったつ)","การพัฒนา, การเติบโต"
"発展(はってん)","การพัฒนา, การขยายตัว"
"発表(はっぴょう)","การประกาศ, การเปิดเผย"
"発明(はつめい)","การประดิษฐ์"
"話し合う(はなしあう)","คุยกัน, หารือกัน"
"放す(はなす)","ปล่อย, ปล่อยอิสระ"
"離す(はなす)","แยกออก, ห่างออก"
"離れる(はなれる)","แยก, ห่างออกไป"
"羽(はね)","ขนนก; ปีก"
"母親(ははおや)","แม่"
"幅(はば)","ความกว้าง; อิสระ"
"省く(はぶく)","ตัด, ลด"
"原(はら)","ทุ่ง, ที่ราบ"
"腹(はら)","ท้อง, พุง; ความรู้สึก"
"針(はり)","เข็ม, หมุด"
"張る(はる)","ติด, แปะ; ขึง"
"範囲(はんい)","ขอบเขต, ช่วง"
"反抗(はんこう)","การต่อต้าน, การขัดขืน"
"ハンサム","หล่อ, รูปร่างดี"
"犯罪(はんざい)","อาชญากรรม"
"判断(はんだん)","การตัดสิน, การตัดสินใจ"
"犯人(はんにん)","ผู้กระทำผิด, อาชญากร"
"販売(はんばい)","การขาย, การตลาด"
"場(ば)","สถานที่, พื้นที่"
"バイオリン","ไวโอลิน"
"馬鹿(ばか)","คนโง่, คนงี่เง่า"
"莫大(ばくだい)","มหาศาล, ใหญ่โต"
"爆発(ばくはつ)","การระเบิด"
"バッグ","กระเป๋า"
"罰する(ばっする)","ลงโทษ"
"ばったり","ทันที, กะทันหัน"
"場面(ばめん)","ฉาก, สถานการณ์"
"番(ばん)","หมายเลข; การเฝ้า"
"パイプ","ท่อ; ท่อบุหรี่; คนกลาง"
"パイロット","นักบิน"
"パス","เส้นทาง; การส่ง"
"パスポート","พาสปอร์ต"
"パーセント","เปอร์เซ็นต์"
"灯(ひ)","ไฟ, โคมไฟ"
"比較(ひかく)","การเปรียบเทียบ"
"被害(ひがい)","ความเสียหาย, การบาดเจ็บ"
"轢く(ひく)","ทับ, ชน"
"悲劇(ひげき)","โศกนาฏกรรม"
"飛行(ひこう)","การบิน"
"膝(ひざ)","เข่า; ตัก"
"非常(ひじょう)","ฉุกเฉิน; รุนแรงมาก"
"額(ひたい)","หน้าผาก"
"必死(ひっし)","ดิ้นรน, สิ้นหวัง"
"引っ張る(ひっぱる)","ดึง, ลาก"
"日付(ひづけ)","วันที่"
"否定(ひてい)","การปฏิเสธ, การลบล้าง"
"一言(ひとこと)","คำเดียว, สองสามคำ"
"人ごみ(ひとごみ)","ฝูงชน"
"等しい(ひとしい)","เท่ากัน, เหมือนกัน"
"一人(ひとり)","คนเดียว; โดยลำพัง"
"一人一人(ひとりひとり)","ทีละคน"
"批判(ひはん)","การวิจารณ์, คำตัดสิน"
"批評(ひひょう)","การวิจารณ์, รีวิว"
"秘密(ひみつ)","ความลับ"
"紐(ひも)","เชือก, สาย"
"表(ひょう)","ตาราง, แผนภูมิ"
"評価(ひょうか)","การประเมิน, การให้คะแนน"
"表現(ひょうげん)","การแสดงออก, การบรรยาย"
"表情(ひょうじょう)","การแสดงสีหน้า"
"評判(ひょうばん)","ชื่อเสียง"
"表面(ひょうめん)","พื้นผิว"
"費用(ひよう)","ค่าใช้จ่าย"
"広がる(ひろがる)","กระจาย, ขยาย"
"品(ひん)","ความสง่างาม; สินค้า"
"美人(びじん)","หญิงสาวงาม"
"吃驚(びっくり)","ตกใจ, ประหลาดใจ"
"ビデオ","วิดีโอ"
"微妙(びみょう)","ละเอียดอ่อน, ยากจะบอก"
"秒(びょう)","วินาที"
"平等(びょうどう)","ความเท่าเทียม"
"便(びん)","เที่ยวบิน; จดหมาย"
"瓶(びん)","ขวด"
"ビール","เบียร์"
"ピクニック","การปิกนิก"
"ぴったり","พอดี, แน่น"
"ピン","เข็มหมุด"
"不(ふ)","ไม่, ไม่ใช่"
"不安(ふあん)","ความวิตกกังวล"
"風景(ふうけい)","ทัศนียภาพ, ภูมิทัศน์"
"夫婦(ふうふ)","คู่สมรส"
"笛(ふえ)","ขลุ่ย, นกหวีด"
"不可(ふか)","ไม่ดี, ไม่อนุญาต"
"服装(ふくそう)","เสื้อผ้า, การแต่งกาย"
"含む(ふくむ)","ประกอบด้วย, รวมถึง"
"袋(ふくろ)","ถุง, กระเป๋า"
"不幸(ふこう)","ความทุกข์, ความโชคร้าย"
"節(ふし)","ข้อต่อ, ปุ่ม; ทำนอง"
"不思議(ふしぎ)","แปลก, น่าฉงน"
"不自由(ふじゆう)","ไม่สะดวก; ความพิการ"
"夫人(ふじん)","ภรรยา (สุภาพ)"
"婦人(ふじん)","สุภาพสตรี"
"不正(ふせい)","ความอยุติธรรม, การทุจริต"
"防ぐ(ふせぐ)","ป้องกัน, ปกป้อง"
"不足(ふそく)","การขาดแคลน; ความไม่พอใจ"
"双子(ふたご)","แฝด"
"再び(ふたたび)","อีกครั้ง, ครั้งที่สอง"
"普段(ふだん)","ปกติ, ธรรมดา"
"縁(ふち)","ขอบ, ริม"
"筆(ふで)","พู่กัน, ปากกา"
"不図(ふと)","กะทันหัน, โดยบังเอิญ"
"船(ふね)","เรือ"
"不平(ふへい)","ความไม่พอใจ, การบ่น"
"不満(ふまん)","ความไม่พอใจ"
"不利(ふり)","เสียเปรียบ"
"振る(ふる)","โบก, แกว่ง; โรย"
"震える(ふるえる)","สั่น, ตัวสั่น"
"触れる(ふれる)","สัมผัส; กล่าวถึง"
"風呂(ふろ)","อ่างอาบน้ำ, ห้องน้ำ"
"雰囲気(ふんいき)","บรรยากาศ, อารมณ์"
"分(ぶ)","หนึ่งในสิบ; ส่วน"
"無(ぶ)","ไม่, ไม่ดี"
"ＶＡＮ(ブイ・エー・エヌ)","VAN (เครือข่ายมูลค่าเพิ่ม)"
"武器(ぶき)","อาวุธ"
"無事(ぶじ)","ความปลอดภัย"
"舞台(ぶたい)","เวที, ฉาก"
"物価(ぶっか)","ราคาสินค้า"
"物質(ぶっしつ)","วัตถุ, สสาร"
"打つ(ぶつ)","ตี, ชก"
"物理(ぶつり)","ฟิสิกส์"
"部分(ぶぶん)","ส่วน, ชิ้น"
"ブレーキ","เบรก; การหยุด"
"文(ぶん)","ประโยค, เนื้อหา"
"分(ぶん)","ส่วน, ส่วนแบ่ง; สภาพ"
"分析(ぶんせき)","การวิเคราะห์"
"文明(ぶんめい)","อารยธรรม"
"分野(ぶんや)","สาขา, ด้าน"
"プラス","บวก; ข้อดี"
"プラン","แผน"
"プロ","มืออาชีพ; โปรแกรม"
"塀(へい)","กำแพง, รั้ว"
"平均(へいきん)","ค่าเฉลี่ย; สมดุล"
"平和(へいわ)","สันติภาพ"
"減らす(へらす)","ลด, ทำให้น้อยลง"
"減る(へる)","ลดลง, น้อยลง"
"変化(へんか)","การเปลี่ยนแปลง, การแปรผัน"
"変更(へんこう)","การเปลี่ยนแปลง, การแก้ไข"
"別に(べつに)","ไม่โดยเฉพาะ; แยกต่างหาก"
"ベルト","เข็มขัด"
"勉強(べんきょう)","การเรียน; ส่วนลด"
"ベンチ","ม้านั่ง"
"弁当(べんとう)","กล่องข้าว"
"ペンキ","สี"
"法(ほう)","กฎหมาย; วิธีการ"
"方(ほう)","ทิศทาง; ด้าน; วิธีการ"
"方向(ほうこう)","ทิศทาง"
"報告(ほうこく)","รายงาน, การรายงาน"
"宝石(ほうせき)","อัญมณี, เพชรพลอย"
"放送(ほうそう)","การออกอากาศ, รายการ"
"豊富(ほうふ)","อุดมสมบูรณ์, มากมาย"
"方法(ほうほう)","วิธีการ, วิธี"
"方々(ほうぼう)","ที่นั่นที่นี่, ทั่วทุกแห่ง"
"訪問(ほうもん)","การเยี่ยมเยือน"
"吠える(ほえる)","เห่า, หอน, คำราม"
"頬(ほお)","แก้ม"
"他(ほか)","ที่อื่น, สิ่งอื่น"
"誇り(ほこり)","ความภูมิใจ"
"埃(ほこり)","ฝุ่น"
"保証(ほしょう)","การรับประกัน, การค้ำประกัน"
"保存(ほぞん)","การเก็บรักษา, การอนุรักษ์"
"仏(ほとけ)","พระพุทธเจ้า; ผู้ล่วงลับ"
"程(ほど)","ขอบเขต, ระดับ"
"歩道(ほどう)","ทางเดินเท้า"
"骨(ほね)","กระดูก; กระดูกสันหลัง"
"炎(ほのお)","เปลวไฟ"
"微笑む(ほほえむ)","ยิ้ม"
"略(ほぼ)","เกือบ, โดยประมาณ"
"褒める(ほめる)","ชมเชย, สรรเสริญ"
"堀(ほり)","คูเมือง, คลอง"
"本当(ほんとう)","จริง, จริงๆ"
"本人(ほんにん)","ตัวเอง, บุคคลนั้น"
"本物(ほんもの)","ของแท้"
"ホーム","ชานชาลา"
"棒(ぼう)","ไม้, แท่ง"
"冒険(ぼうけん)","การผจญภัย"
"ボウル","ชาม"
"ぼんやり","เลือนราง; ใจลอย"
"ボーイ","เด็กชาย; พนักงาน"
"ボート","เรือ (พาย)"
"間(ま)","เวลา, การหยุด; ห้อง"
"まあ","ก็, อ๋อ; พอสมควร"
"マイク","ไมโครโฟน"
"迷子(まいご)","เด็กหาย"
"任せる(まかせる)","มอบหมาย, ให้"
"幕(まく)","ม่าน; การแสดง"
"負け(まけ)","การแพ้, ความพ่ายแพ้"
"孫(まご)","หลาน"
"真逆(まさか)","ไม่น่าเชื่อ; กรณีฉุกเฉิน"
"正に(まさに)","ตรงๆ, แน่นอน; กำลังจะ"
"真面目(まじめ)","จริงจัง, ซื่อสัตย์"
"増す(ます)","เพิ่ม, เติบโต"
