"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"","パン","bread, (sweet) pastry; staff of life, one's bread"
"","パーティー, パーティ, パーリー","party (social gathering); party (group of people participating in an activity, esp. mountain climbing); (political) party"
"東","ひがし, ひむかし, ひんがし","east"
"引く","ひく","to pull, to tug, to lead (e.g. a horse); to draw (attention, sympathy, etc.), to attract (e.g. interest); to draw back (e.g. one's hand), to draw in (one's chin, stomach, etc.), to pull in; to draw (a card, mahjong tile, etc.); to draw (a line, plan, etc.); to catch (a cold); to play (a stringed or keyboard instrument); to look up (in a dictionary, phone book, etc.), to consult, to check; to haul, to pull (vehicles); to subtract, to deduct; to recede, to ebb, to fade; to be descend from, to inherit (a characteristic); to quote, to cite, to raise (as evidence); to lay on (electricity, gas, etc.), to install (e.g. a telephone), to supply (e.g. water); to hold (e.g. a note); to apply (e.g. lipstick), to oil (e.g. a pan), to wax (e.g. a floor); to move back, to draw back, to recede, to fall back, to retreat; to lessen, to subside, to ebb, to go down (e.g. of swelling); to resign, to retire, to quit; to be put off (by someone's words or behaviour), to be turned off, to recoil (in disgust, etc.), to cringe"
"低い","ひくい, ひっくい","low (rank, degree, value, content, quality, etc.); low (position), close to the ground; short (height); deep (voice), in a low key, low (volume)"
"弾く","ひく","to play (a stringed or keyboard instrument)"
"飛行機","ひこうき","airplane, aeroplane, plane, aircraft"
"左","ひだり","left, left-hand side; left hand; the left (wing), leftist; fondness for alcohol, drinker"
"人","ひと, ヒト","person, someone, somebody; human beings, mankind, man, people, humans; human (Homo sapiens); (other) people, others; character, personality, nature; capable person, competent person, suitable person, right person; adult, grown-up; I, me, one"
"一つ","ひとつ","one; for one thing; only; (not) even; just (e.g. ""just try it""); some kind of, one type of"
"一月","ひとつき, いちげつ","one month"
"一人","ひとり, いちにん","one person; being alone, being by oneself; being single, being unmarried; by oneself, alone; just, only, simply"
"暇","ひま, ヒマ","spare time, free time, leisure; time (it takes to do something), time required; time off, leave, vacation, holiday; dismissal, firing, severance, divorce; free, not busy, unoccupied, idle; slow (business), slack, dull; to be free, to be not busy, to be available, to be doing nothing"
"百","ひゃく, はく","hundred, 100"
"昼","ひる","noon, midday; daytime; lunch"
"昼ご飯","ひるごはん","lunch, midday meal"
"広い","ひろい","spacious, vast, wide"
"病院","びょういん","hospital, clinic, doctor's office, doctor's surgery, infirmary"
"病気","びょうき, ビョーキ","illness (usu. excluding minor ailments, e.g. common cold), disease, sickness; bad habit, bad behaviour, weakness, failing; crazy, insane, disturbed, sick in the head"
"","フィルム, フイルム","film"
"封筒","ふうとう","envelope"
"","フォーク, ホーク","fork; forkball"
"吹く","ふく","to blow (of the wind); to blow (one's breath), to breathe out, to blow on (hot tea, candles, etc.), to puff; to play (a wind instrument), to blow (a whistle, trumpet, etc.), to whistle (a tune); to emit (smoke, fire, etc.), to spout, to spew, to puff out; to sprout, to put forth (buds); to appear (on the surface), to form, to be coated with (powder, rust, etc.); to burst out laughing, to burst into laughter; to brag, to talk big; to smelt, to mint"
"服","ふく","clothes (esp. Western clothes), clothing, dress, costume, suit, outfit; counter for doses of medicine, gulps of tea, puffs of a cigarette, etc."
"二つ","ふたつ","two"
"二人","ふたり, ににん","two persons, two people, pair, couple"
"２日","ふつか","2nd day of the month; two days"
"太い","ふとい","fat, thick; deep (of a voice), thick, sonorous; daring, shameless, brazen, audacious"
"冬","ふゆ","winter"
"降る","ふる","to fall (of rain, snow, ash, etc.), to come down; to form (of frost); to beam down (of sunlight or moonlight), to pour in; to visit (of luck, misfortune, etc.), to come, to arrive"
"古い","ふるい","old, aged, ancient, antiquated, antique, timeworn; long, since long ago, time-honored; of the distant past, long-ago; stale, threadbare, hackneyed, corny; old-fashioned, outmoded, out-of-date"
"風呂","ふろ","bath, bathing, bathtub, bathroom; bathhouse, public bath; room for drying lacquerware; base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)"
"豚肉","ぶたにく, とんにく","pork"
"文章","ぶんしょう, もんじょう, もんぞう","writing, composition, essay, article, passage, prose, (writing) style; sentence"
"","プール","(swimming) pool; pool (cue sport); pooling (money, resources, etc.); pool (price ring)"
"下手","へた, ヘタ","unskillful, poor, awkward; imprudent, untactful"
"部屋","へや","room, chamber; apartment, flat, pad; stable"
"辺","へん","area, vicinity, region; side, edge; circumstances"
"","ベッド","bed"
"勉強","べんきょう","study; diligence, working hard; experience, lesson (for the future); discount, price reduction"
"便利","べんり","convenient, handy, useful"
"","ペット","pet; trumpet"
"","ペン","pen"
"頁","ページ","page; nth page, page ..."
"他","ほか","another place, some other place, somewhere else, outside; another (person or thing), other, different, something else, someone else, the rest, et al.; beyond (one's expectations, imagination, etc.), outside; except, but, other than, apart from; besides, in addition to, as well as, on top of"
"欲しい","ほしい","wanting (to have), desiring, wishing for; I want (you, them, etc.) to (do)"
"細い","ほそい","thin, slender, fine; unlucky"
"","ホテル","hotel"
"本","ほん","book, volume, script; this, present, current, ... in question, ... at issue; main, head, principal; real, genuine, regular, proper; counter for long, cylindrical things, counter for films, TV shows, etc., counter for goals, home runs, etc., counter for telephone calls"
"本棚","ほんだな","bookshelves, bookshelf, bookcase"
"本当","ほんとう, ほんと, ホントー, ホント, ホントウ","truth, reality, actuality, fact; proper, right, correct, official; genuine, authentic, real, natural, veritable"
"帽子","ぼうし","hat, cap"
"釦","ボタン","button (clothing); push-button, button"
"","ボールペン, ボール・ペン","ball-point pen"
"","ポケット","pocket"
"","ポスト","postbox, mailbox, mail box, pillar box; post, position; post (e.g. goalpost); post- (e.g. post-Cold War)"
"毎朝","まいあさ, まいちょう","every morning"
"毎週","まいしゅう","every week"
"毎月","まいつき, まいげつ","every month, each month, monthly"
"毎年","まいとし, まいねん","every year, yearly, annually"
"毎日","まいにち","every day, daily"
"毎晩","まいばん","every night"
"前","まえ","in front (of), before (e.g. a building); before, earlier, previously, prior, ago, (minutes) to (the hour); (the) front, frontal part, fore, head (e.g. of a line); forward, ahead; (in the) presence (of), in front (of someone); previous (e.g. page), prior (e.g. engagement), first (e.g. half), former (e.g. example); portion, helping; front (of one's body or clothing), breast (of a coat, kimono, etc.); privates, private parts; criminal record, previous conviction, (a) prior"
"曲がる","まがる","to bend, to curve, to warp, to wind, to twist; to turn; to be awry, to be askew, to be crooked"
"不味い","まずい, マズイ, マズい","bad(-tasting), unpalatable, unsavoury, unsavory, awful, terrible, unpleasant; poor, unskillful, unskilful, bungling, clumsy; ugly, unattractive, homely, plain; awkward, problematic, troublesome, unfavorable, unfavourable, unwise"
"股","また","groin, thigh, crotch, crutch; fork (in a tree, road, river, etc.), tines (of a fork)"
"未だ","まだ, いまだ","still, as yet, only; (not) yet; more, (more) still; at least, comparatively, relatively; unfinished, incomplete, not yet done"
"町","まち","town, block, neighbourhood, neighborhood; downtown, main street; street, road"
"真っ直ぐ","まっすぐ","straight (ahead), direct, upright, erect; straightforward, honest, frank"
"","マッチ","match (contest); matching (with), going well (with)"
"待つ","まつ","to wait; to await, to look forward to, to anticipate; to depend on, to need"
"窓","まど","window"
"丸い","まるい, まろい","round, circular, spherical; curved, smooth; harmonious, calm, peaceful, amiable, amicable"
"万","まん, よろず","10,000, ten thousand; myriad; everything, all; various"
"万年筆","まんねんひつ, まんねんぴつ, まんねんふで","fountain pen"
"磨く","みがく","to polish, to shine, to burnish, to scour, to scrub, to brush (teeth), to grind (e.g. a lens); to refine (a skill, etc.), to improve, to hone, to polish (up), to cultivate (one's character)"
"右","みぎ","right, right-hand side; right hand; the above (in a piece of vertical writing), above-mentioned; the right (wing), rightist; the better (of two)"
"短い","みじかい, みじけー","short; brief"
"水","みず","water (esp. cool or cold); fluid (esp. in an animal tissue), liquid; flood, floodwaters; water offered to wrestlers just prior to a bout; break granted to wrestlers engaged in a prolonged bout"
"店","みせ","store, shop, establishment, restaurant"
"見せる","みせる","to show, to display; to make (something or someone) look ..., to present an appearance of ...; to make (something) worth watching, to be entertaining; to have (something) looked at (by a specialist), to have (an antique, etc.) appraised; to have (an injury, person, etc.) looked at (by a doctor), to take (someone) to a doctor; to make a show of (doing), to do in a conspicuous manner, to do in view of others; to resolve to do, to do at any cost, to show others that one will ..."
"道","みち","road, path, street, lane, passage; route, way; distance, journey; road (e.g. to victory), course; way (of living, proper conduct, etc.), moral principles; teachings (esp. Confucian or Buddhist), dogma; field (e.g. of medicine), subject, speciality; means, way, method"
"３日","みっか","3rd day of the month; three days"
"三つ","みっつ, みつ","three; three years of age"
"緑","みどり","green; greenery, verdure"
"皆","みな, みんな","everyone, everybody, all; everything, all"
"皆さん","みなさん","all, everyone, everybody"
"南","みなみ","south"
"耳","みみ","ear; hearing; ear (for music, etc.); edge, crust, heel (of bread or cheese), selvedge (of woven fabric), selvage; ear (of a pot, jug, etc.), handle"
"見る","みる","to see, to look, to watch, to view, to observe; to examine, to look over, to assess, to check, to judge; to look after, to attend to, to take care of, to keep an eye on; to experience, to meet with (misfortune, success, etc.); to try ..., to have a go at ..., to give ... a try; to see (that) ..., to find (that) ..."
"６日","むいか, むゆか, むよか","6th day of the month; six days"
"向こう","むこう","opposite side, other side; over there, ahead, beyond, (in the) distance, far away, far off; destination, there (somewhere distant, esp. abroad); the other party, the other side; from now, next (e.g. two weeks), coming ..., from ... onwards"
"難しい","むずかしい, むつかしい, むづかしい","difficult, hard, troublesome, complicated, serious (disease, problem, etc.); impossible, unfeasible; fussy, particular, fastidious, hard to please, displeased; gloomy, glum, sullen, serious (look); dirty, unclean, filthy, detestable; unpleasant, uncomfortable, creepy, spooky"
"六つ","むっつ, むつ","six; six years of age; six o'clock (old time system)"
"村","むら, そん","village"
"目","め","eye, eyeball; eyesight, sight, vision; look, stare, gaze, glance; notice, attention, observation, eyes (of the world, public, etc.); an experience; viewpoint; discrimination, discernment, judgement, eye (e.g. for quality); (an) appearance; chance (of success), possibility (of a good result); spacing (between crossed strands of a net, mesh, etc.), opening, stitch, texture, weave; grain (of wood, paper); eye (of a storm, needle, etc.); intersection (on a go board), square (on a chessboard); dot (on a dice), pip, rolled number; graduation, division (of a scale); tooth (of a saw, comb, etc.); ordinal number suffix; somewhat, -ish; point (e.g. of change)"
"眼鏡","メガネ, めがね","glasses, eyeglasses, spectacles; judgment, judgement, discrimination, discernment, insight; four-eyes"
"米","メートル","metre (unit of length), meter; meter, gauge"
"毛","もう","one-thousandth, 0.03 mm (one-thousandth of a sun), 0.01 percent (one-thousandth of a wari), 3.75 milligrams (one-thousandth of a monme); old monetary unit (0.0001 yen)"
"もう一度","もういちど","once more, again"
"木曜日","もくようび","Thursday"
"","もっと","(some) more, even more, longer, further"
"持つ","もつ","to hold (in one's hand), to take, to carry; to possess, to have, to own; to maintain, to keep; to last, to be durable, to keep, to survive; to take charge of, to be in charge of; to hold (meeting, etc.), to have (opportunity, etc.); to have ""it"", to have that special something, to be blessed with good luck"
"物","もの, もん, モノ","thing, object, article, stuff, substance; one's things, possessions, property, belongings; things, something, anything, everything, nothing; quality; reason, the way of things; used to emphasize emotion, judgment, etc., used to indicate a common occurrence in the past (after a verb in past tense), used to indicate a general tendency, used to indicate something that should happen; item classified as ..., item related to ..., work in the genre of ...; cause of ..., cause for ...; somehow, somewhat, for some reason; really, truly"
"門","もん, かど","gate; branch of learning based on the teachings of a single master; division, phylum; counter for cannons"
"問題","もんだい","question (e.g. on a test), problem; problem (e.g. societal, political), question, issue, subject (e.g. of research), case, matter; question (i.e. doubt); public discussion, controversy; trouble, problem, inconvenience, difficulty"
"八百屋","やおや","greengrocer, fruit and vegetable shop; jack of all trades"
"野菜","やさい","vegetable; marijuana, cannabis"
"易しい","やさしい","easy, plain, simple"
"安い","やすい","cheap, inexpensive; calm, peaceful, quiet"
"休み","やすみ","rest, recess, respite; vacation, holiday, absence, suspension; dormancy (of a silkworm prior to moulting)"
"休む","やすむ","to be absent, to take a day off; to rest, to have a break; to go to bed, to (lie down to) sleep, to turn in, to retire; to stop doing some ongoing activity for a time, to suspend business"
"八つ","やっつ, やつ","eight; eight years of age; two o'clock (old time system)"
"山","やま, ヤマ","mountain, hill; mine; (mountain) forest; heap, pile, stack, mountain; protruding or high part of an object, crown (of a hat), thread (of a screw), tread (of a tire); climax, peak, critical point; guess, speculation, gamble; (criminal) case, crime; mountain climbing, mountaineering; festival float (esp. one mounted with a decorative halberd); deck (from which players draw cards), draw pile, stock; wall, wall tile; wild"
"遣る","やる, ヤる","to do, to undertake, to perform, to play (a game), to study; to send, to dispatch, to despatch; to put, to move, to turn (one's head, glance, etc.); to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer; to make (a vehicle) go faster; to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise; to have (food, drink, etc.), to eat, to drink, to smoke; to hold (a performance), to perform, to show; to ease (one's mind); to harm, to injure, to kill; to have sex, to fuck, to bang; to live, to get by, to get along; to do ... completely; to do ... broadly, to do ... to a great distance; to do ... for (someone of equal or lower status), to do ... to; to make active efforts to ..."
"夕方","ゆうがた","early evening (usu. from 3pm to 6pm), dusk"
"夕飯","ゆうはん, ゆうめし","evening meal, dinner, supper"
"郵便局","ゆうびんきょく","post office"
"昨夜","ゆうべ, ゆんべ, よべ","last night, yesterday evening"
"有名","ゆうめい","famous, well-known"
"雪","ゆき","snow, snowfall"
"","ゆっくり","slowly, unhurriedly, without haste, leisurely, at one's leisure; easily (e.g. in time), well, sufficiently, amply, with time to spare; well (e.g. sleep), comfortably"
"８日","ようか","8th day of the month; eight days"
"洋服","ようふく","Western-style clothes (cf. traditional Japanese clothes)"
"良く","よく","nicely, properly, well, skillfully, skilfully; frequently, often; I'm glad that you ..., thank you for ...; (you have) quite the nerve to, I don't know how you can ..."
"横","よこ, ヨコ","horizontal (as opposed to vertical); side-to-side (as opposed to front-to-back), width, breadth; side (of a box, etc.); beside, aside, next to; unconnected"
"４日","よっか","4th day of the month; four days"
"四つ","よっつ, よつ","four, 4; four years of age; ten o'clock (in the old time system); burakumin; cross grips"
"呼ぶ","よぶ","to call out (to), to call, to invoke; to summon (a doctor, etc.); to invite; to designate, to name, to brand; to garner (support, etc.), to gather; to take as one's wife"
"読む","よむ","to read; to recite (e.g. a sutra), to chant; to predict, to guess, to forecast, to read (someone's thoughts), to see (e.g. into someone's heart), to divine; to pronounce, to read (e.g. a kanji); to decipher, to read (a meter, graph, music, etc.), to tell (the time); to count, to estimate; to read (a kanji) with its native Japanese reading"
"夜","よる, よ","night, evening; dinner"
"弱い","よわい","weak, frail, delicate, tender, unskilled, weak (wine)"
"来月","らいげつ","next month"
"来週","らいしゅう","next week"
"来年","らいねん","next year"
"","ラジオ, ラヂオ","radio"
"","ラジカセ","radio-cassette player"
"立派","りっぱ","splendid, fine, handsome, elegant, imposing, prominent, impressive; praiseworthy, creditable, worthy; legal, legitimate, lawful; undeniable (e.g. crime), indisputable, solid"
"留学生","りゅうがくせい","overseas student, exchange student"
"両親","りょうしん, ふたおや","parents, both parents"
"料理","りょうり","cooking, cookery, cuisine, food, dish; dealing with (skillfully), handling (well), managing"
"旅行","りょこう","travel, trip, journey, excursion, tour"
"零","れい","zero, nought"
"冷蔵庫","れいぞうこ","refrigerator, fridge"
"","レコード","record (e.g. LP); record (e.g. in sports); record (data structure)"
"","レストラン","restaurant (esp. Western-style)"
"練習","れんしゅう","practice, training, drill, (an) exercise, workout"
"廊下","ろうか","corridor, hallway, passageway"
"六","ろく, む, むう","six, 6"
"Ｙシャツ","ワイシャツ","(formal) shirt, dress shirt, business shirt, button-up shirt"
"若い","わかい","young, youthful; immature, green; low (number), small"
"分かる","わかる","to understand, to comprehend, to grasp, to see, to get, to follow; to become clear, to be known, to be discovered, to be realized, to be realised, to be found out; I know!, I think so too!"
"忘れる","わすれる","to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)"
"私","わたくし","I, me; personal (affairs, etc.), private; selfishness, partiality; secrecy, confidentiality"
"私","わたし","I, me"
"渡す","わたす","to ferry across (e.g. a river), to carry across, to traverse; to lay across, to build across; to hand over, to hand in, to pass, to give, to transfer"
"渡る","わたる","to cross over, to go across; to extend, to cover, to range, to span"
"悪い","わるい","bad, poor, undesirable; poor (quality), inferior, insufficient; evil, sinful; ugly, not beautiful; at fault, to blame, in the wrong; bad (at doing something); unprofitable, unbeneficial; sorry, (my) bad, unforgivable"
